name,item_id,original_price,price,discount,rating,review,location,seller_name,seller_id,item_sold,item_url,image_url
"HP 15-fd0211TU Intel i7 13th Gen 1355U 1.7 to 5 GHz, 8GB, 512GB SSD, Win11 Laptop",349423338,118800.0,112800.0,,0.0,0,,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/hp-15-fd0211tu-intel-i7-13th-gen-1355u-17-to-5-ghz-8gb-512gb-ssd-win11-laptop-i349423338.html,https://static-01.daraz.com.bd/p/269877e202ae1126dba7e7adaf9a0eba.png
"Infinix InBook X2 11th Gen i5-1155G7 2.5 To 4.5GHz, 8GB, 512GB SSD, Win 11, 14"" FHD IPS Laptop",337002906,66500.0,63900.0,,0.0,0,,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/infinix-inbook-x2-11th-gen-i5-1155g7-25-to-45ghz-8gb-512gb-ssd-win-11-14-fhd-ips-laptop-i337002906.html,https://static-01.daraz.com.bd/p/fb1655d1d56638ed61d4a467e4797b64.png
Lenovo LOQ Gaming (8) 13TH Gen Core i7 Laptop - 16GB RAM -512GB SSD -  15.6 Inch FHD Display -  NVIDIA GeForce RTX 4050 6GB GPU - FHD 1080p WebCam with E-shutter - Storm Grey - #82XV00L1LK,328410343,-1.0,192430.0,,0.0,0,,LENOVO,700510095116,0,//www.daraz.com.bd/products/lenovo-loq-gaming-8-13th-gen-core-i7-laptop-16gb-ram-512gb-ssd-156-inch-fhd-display-nvidia-geforce-rtx-4050-6gb-gpu-fhd-1080p-webcam-with-e-shutter-storm-grey-82xv00l1lk-i328410343.html,https://static-01.daraz.com.bd/p/17c60c69a0edee9a37145afc588f7462.jpg
"Xiaomi RedmiBook 15 11th Gen Core i3-1115G4 3.1 to 4.7 GHz, 8GB RAM, 256GB SSD, 15.6 Inch FHD Laptop",313714943,53000.0,51399.0,,0.0,0,,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/xiaomi-redmibook-15-11th-gen-core-i3-1115g4-31-to-47-ghz-8gb-ram-256gb-ssd-156-inch-fhd-laptop-i313714943.html,https://static-01.daraz.com.bd/p/8464461df909fe26889a7f2011b61887.jpg
"HP Pavilion 14-dv1234TU 11th Gen i5-1155G7-2.5 To 4.5 GHz, 8GB, 512GB SSD, Windows 11, 14 FHD Laptop",300413335,82000.0,80100.0,,0.0,0,,MS Royal Select,700534707572,0,//www.daraz.com.bd/products/hp-pavilion-14-dv1234tu-11th-gen-i5-1155g7-25-to-45-ghz-8gb-512gb-ssd-windows-11-14-fhd-laptop-i300413335.html,https://static-01.daraz.com.bd/p/afec0841893b8b138a1d59925160f545.jpg
"Lenovo IdeaPad Gaming 3 #82K201AWIN-3Y# AMD Ryzen 5 5600H 3.3 to 4.2GHz, 8GB, 256GB SSD+ 1TB HDD, GTX1650 4GB, Win11H,15.6Inch FHD Gaming Laptop",222553601,100000.0,96499.0,,0.0,0,,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/lenovo-ideapad-gaming-3-82k201awin-3y-amd-ryzen-5-5600h-33-to-42ghz-8gb-256gb-ssd-1tb-hdd-gtx1650-4gb-win11h156inch-fhd-gaming-laptop-i222553601.html,https://static-01.daraz.com.bd/p/e22da4507a1a0ae6c6416d8290d460fd.jpg
ASUS TUF Gaming A15 FA506NF-HN042W Ryzen 5-7535HS 8GB RAM 512GB SSD RTX2050 4GB GFX 15.6 Inch 144Hz Gaming Laptop,390072034,109000.0,104450.0,,0.0,0,,BD Sales,700507764232,0,//www.daraz.com.bd/products/asus-tuf-gaming-a15-fa506nf-hn042w-ryzen-5-7535hs-8gb-ram-512gb-ssd-rtx2050-4gb-gfx-156-inch-144hz-gaming-laptop-i390072034.html,https://static-01.daraz.com.bd/p/560857a8fce32fbb471fd3de0a43dc55.png
ASUS Zenbook S 13 OLED UX5304MA-NQ128WS Core Ultra 7 Laptop,388971621,196880.0,194225.0,,0.0,0,,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/asus-zenbook-s-13-oled-ux5304ma-nq128ws-core-ultra-7-laptop-i388971621.html,https://static-01.daraz.com.bd/p/eb9825eff8ed09cb76ecbd9c665f5a61.jpg
"MSI GF63 Thin 12UCX 12th Gen Core i5-12450H 3.3 to 4.4GHz, 8GB, 512GB SSD, RTX 2050 4GB Graphics, Windows 11 Home, 15.6 FHD IPS Gaming Laptop",360612327,102000.0,98100.0,,0.0,0,,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/msi-gf63-thin-12ucx-12th-gen-core-i5-12450h-33-to-44ghz-8gb-512gb-ssd-rtx-2050-4gb-graphics-windows-11-home-156-fhd-ips-gaming-laptop-i360612327.html,https://static-01.daraz.com.bd/p/2aa0dbd42fc49a5571fe3076eb61259d.png
ASUS VivoBook D415DA-BV981W AMD Ryzen 3-3250U 4GB RAM 1TB HDD 14 Inch Laptop,355266076,56500.0,48350.0,,0.0,0,,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/asus-vivobook-d415da-bv981w-amd-ryzen-3-3250u-4gb-ram-1tb-hdd-14-inch-laptop-i355266076.html,https://static-01.daraz.com.bd/p/16695bdbc47930710c4a705051aa32c5.png
ASUS VivoBook 15 X515EA-BQ2224W 11TH Gen Core i3-1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Laptop,347947831,64800.0,63090.0,,0.0,0,,I-CROWN,700507341076,0,//www.daraz.com.bd/products/asus-vivobook-15-x515ea-bq2224w-11th-gen-core-i3-1115g4-8gb-ram-512gb-ssd-156-inch-fhd-laptop-i347947831.html,https://static-01.daraz.com.bd/p/6890d4080823896babeaeffa6d4b13c0.png
ASUS VivoBook 15 X515EA-BQ2315W 11th Gen Intel Core i3-1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Laptop,341016886,58500.0,53900.0,,0.0,0,,BD SALE CTG,700539351781,0,//www.daraz.com.bd/products/asus-vivobook-15-x515ea-bq2315w-11th-gen-intel-core-i3-1115g4-4gb-ram-1tb-hdd-156-inch-fhd-laptop-i341016886.html,https://static-01.daraz.com.bd/p/9ab19cde4a013714cf0ee64387a91e14.png
"Gigabyte Aorus 5 SE4 12th Gen i7-12700H 2.3 to 4.7GHz,16GB, 512GB SSD, RTX3070 GDDR6 8GB,Windows 11, 15.6 Inch FHD IPS Gaming Laptop",280330927,247000.0,241499.0,,0.0,0,,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/gigabyte-aorus-5-se4-12th-gen-i7-12700h-23-to-47ghz16gb-512gb-ssd-rtx3070-gddr6-8gbwindows-11-156-inch-fhd-ips-gaming-laptop-i280330927.html,https://static-01.daraz.com.bd/p/382177c2254e98a6bef052908074336a.jpg
"Dell Inspiron 15 5510 11th Gen Core i5-11300H 3.1 to 4.4GHz, 8GB, 512GB SSD, Win10, 15.6 FHD Gaming Laptop",275382755,94000.0,89199.0,,0.0,0,,JANANI COMPUTERS (CTG),1043982,0,//www.daraz.com.bd/products/dell-inspiron-15-5510-11th-gen-core-i5-11300h-31-to-44ghz-8gb-512gb-ssd-win10-156-fhd-gaming-laptop-i275382755.html,https://static-01.daraz.com.bd/p/fb5f5c63485a288d5be8034acbc4be0e.jpg
"HP Victus Gaming 16-e0347AX AMD Ryzen 5-5600H 3.3 to 4.2GHz, 8GB, 512GB SSD, GeForce RTX 3050 4GB, Windows 11 Home, 16.1Inch FHD Laptop",259996091,125000.0,117000.0,,0.0,0,,I-CROWN,700507341076,0,//www.daraz.com.bd/products/hp-victus-gaming-16-e0347ax-amd-ryzen-5-5600h-33-to-42ghz-8gb-512gb-ssd-geforce-rtx-3050-4gb-windows-11-home-161inchfhd-laptop-i259996091.html,https://static-01.daraz.com.bd/p/7f955b6685f943758388769a60d15325.jpg
"I-Life Zed Air CX3 5th Gen i3-5005U 2.0GHz,4GB RAM,1TB HDD,15.6 Inch Full HD Laptop",239997838,39000.0,36500.0,,0.0,0,,I-CROWN,700507341076,0,//www.daraz.com.bd/products/i-life-zed-air-cx3-5th-gen-i3-5005u-20ghz4gb-ram1tb-hdd156-inch-full-hd-laptop-i239997838.html,https://static-01.daraz.com.bd/p/f7a681afbdc3ac696d90284b91eab945.jpg
